Cars,Model,Dist per km,Fuel,Transmission,Registration,EMI Per Month,Sale City,Manufacturing_Year,Reg_State,Other charges,Actual Price in Lakhs,Discounted Price in Lakhs,Car Age,Discount Amount,Discount %,Brand
Hyundai Elite i20, MAGNA 1.2,87881,Petrol,Manual,PB-65,8141.0,Chandigarh,2016,Punjab,Included,4.12,3.66,10,0.46,11.17,Hyundai
Maruti New Wagon-R, VXI 1.2,83681,Petrol,Manual,HR-03,5472.0,Chandigarh,2020,Haryana,Included,4.03,3.1,6,0.93,23.08,Maruti
Hyundai Eon, MAGNA +,90179,Petrol,Manual,CH-01,4801.0,Chandigarh,2013,Chandigarh,Included,1.57,1.02,13,0.55,35.03,Hyundai
Tata Tiago, XZ PETROL,45295,Petrol,Manual,PB-65,5649.0,Chandigarh,2019,Punjab,Included,3.33,3.2,7,0.13,3.9,Tata
Nissan MAGNITE, XE,24263,Petrol,Manual,HR-85,6673.0,Chandigarh,2022,Haryana,Included,4.26,3.78,4,0.48,11.27,Nissan
Tata Tiago, XZ PETROL,49561,Petrol,Manual,PB-10,6532.0,Chandigarh,2021,Punjab,Included,4.53,3.7,5,0.83,18.32,Tata
Ford Ecosport, AMBIENTE 1.5L PETROL,74455,Petrol,Manual,PB-02,7772.0,Chandigarh,2014,Punjab,Included,3.34,2.34,12,1.0,29.94,Ford
Maruti Baleno, DELTA PETROL 1.2,32472,Petrol,Manual,PB-02,7711.0,Chandigarh,2021,Punjab,Included,5.06,4.37,5,0.69,13.64,Maruti
Mahindra KUV 100 NXT, K2 D 6S,68448,Diesel,Manual,PB-42,4125.0,Chandigarh,2018,Punjab,Included,2.83,2.11,8,0.72,25.44,Mahindra
Honda Amaze, 1.2L I-VTEC VX,58976,Petrol,Manual,HR-03,9885.0,Chandigarh,2013,Haryana,Included,2.42,2.1,13,0.32,13.22,Honda
Skoda KUSHAQ, AMBITION 1.0L TSI MT,65634,Petrol,Manual,PB-03,13045.0,Chandigarh,2022,Punjab,Included,7.54,7.39,4,0.15,1.99,Skoda
Tata ALTROZ, XM PLUS DIESEL,80846,Diesel,Manual,PB-10,7209.0,Chandigarh,2021,Punjab,Included,5.24,4.08,5,1.16,22.14,Tata
KIA SELTOS, HTK PLUS 1.5 DIESEL,74491,Diesel,Manual,PB-02,15787.0,Chandigarh,2022,Punjab,Included,9.52,9.22,4,0.3,3.15,KIA
Hyundai GRAND I10 NIOS, ASTA AMT 1.2 KAPPA VTVT,5189,Petrol,Auto,PB-65,10069.0,Chandigarh,2022,Punjab,Included,6.0,5.7,4,0.3,5.0,Hyundai
Hyundai Tucson, GLS 4WD AT DIESEL,128073,Diesel,Auto,PB-10,21242.0,Chandigarh,2018,Punjab,Included,12.02,9.77,8,2.25,18.72,Hyundai
Volkswagen TAIGUN, HIGHLINE 1.0 TSI MT,42419,Petrol,Manual,PB-02,12763.0,Chandigarh,2022,Punjab,Included,8.28,7.23,4,1.05,12.68,Volkswagen
Hyundai Creta, SX AT 1.6 DIESEL,95188,Diesel,Auto,HR-03,16541.0,Chandigarh,2018,Haryana,Not Included,8.69,8.69,8,0.0,0.0,Hyundai
Maruti S PRESSO, VXI+,135640,Petrol,Manual,PB-13,6228.0,Chandigarh,2019,Punjab,Not Included,2.8,2.8,7,0.0,0.0,Maruti
Maruti Swift, VXI,67721,Petrol,Manual,HR-12,7238.0,Chandigarh,2019,Haryana,Not Included,4.1,4.1,7,0.0,0.0,Maruti
Hyundai Grand i10, MAGNA AT 1.2 KAPPA VTVT,39393,Petrol,Auto,DL-10,4671.0,Chandigarh,2016,Delhi,Not Included,2.2,2.1,10,0.1,4.55,Hyundai
Hyundai Santa Fe, 4 WD,144523,Diesel,Manual,PB-12,0.0,Chandigarh,2011,Punjab,Not Included,2.37,2.37,15,0.0,0.0,Hyundai
Tata ALTROZ, XZ PETROL,45649,Petrol,Manual,HR-05,10592.0,Chandigarh,2023,Haryana,Not Included,6.18,6.0,3,0.18,2.91,Tata
Tata Indigo ECS, LX TDI,126239,Diesel,Manual,PB-10,4617.0,Chandigarh,2015,Punjab,Not Included,1.39,1.39,11,0.0,0.0,Tata
Tata NEXON, XZ PLUS PETROL,81729,Petrol,Manual,PB-65,10362.0,Chandigarh,2017,Punjab,Not Included,5.3,5.3,9,0.0,0.0,Tata
Hyundai Elite i20, SPORTZ 1.4 CRDI,163865,Diesel,Manual,UP-15,8163.0,Chandigarh,2016,Uttar Pradesh,Not Included,3.1,3.1,10,0.0,0.0,Hyundai
Volkswagen Vento, HIGHLINE DIESEL 1.6,125966,Diesel,Manual,PB-02,16970.0,Chandigarh,2013,Punjab,Not Included,1.91,1.91,13,0.0,0.0,Volkswagen
Renault Duster, 110 PS RXL DIESEL,118951,Diesel,Manual,HR-12,11298.0,Chandigarh,2014,Haryana,Not Included,2.4,2.4,12,0.0,0.0,Renault
Mahindra TUV300, T8,151716,Diesel,Manual,JH-05,10797.0,Chandigarh,2016,Jharkhand,Not Included,4.1,4.1,10,0.0,0.0,Mahindra
Tata Harrier, ADVENTURE,31026,Diesel,Manual,PB-65,27396.0,Chandigarh,2024,Punjab,Not Included,16.0,16.0,2,0.0,0.0,Tata
Maruti Baleno, DELTA PETROL 1.2,113031,Petrol,Manual,PB-06,8453.0,Chandigarh,2019,Punjab,Not Included,3.8,3.8,7,0.0,0.0,Maruti
Maruti Swift, LXI (O),13644,Petrol,Manual,HR-01,6451.0,Chandigarh,2016,Haryana,Not Included,2.9,2.9,10,0.0,0.0,Maruti
Honda City, 1.5L I-VTEC S MT,171763,Petrol,Manual,UK-07,10921.0,Chandigarh,2013,Uttarakhand,Not Included,2.32,2.32,13,0.0,0.0,Honda
Hyundai AURA, S 1.2 CNG,204240,CNG,Manual,CH-01,7341.0,Chandigarh,2021,Chandigarh,Not Included,3.3,3.3,5,0.0,0.0,Hyundai
Maruti Swift, VXI,32722,Petrol,Manual,PB-10,10892.0,Chandigarh,2024,Punjab,Not Included,6.17,6.17,2,0.0,0.0,Maruti
Maruti Ritz, LXI,85282,Petrol,Manual,DL-6C,12705.0,Chandigarh,2012,Delhi,Not Included,1.43,1.43,14,0.0,0.0,Maruti
Tata Zest, XE 75PS DIESEL,73115,Diesel,Manual,DL-11,5115.0,Chandigarh,2015,Delhi,Not Included,1.54,1.54,11,0.0,0.0,Tata
Renault Kwid, RXT 1.0 (O),42793,Petrol,Manual,HR-03,3584.0,Delhi,2019,Haryana,Included,2.2,2.03,7,0.17,7.73,Renault
Maruti Baleno, DELTA PETROL 1.2,38618,Petrol,Manual,DL-10,9232.0,Delhi,2023,Delhi,Included,5.23,5.23,3,0.0,0.0,Maruti
Nissan MAGNITE, XL,64701,Petrol,Manual,HR-15,6726.0,Delhi,2021,Haryana,Included,4.27,3.81,5,0.46,10.77,Nissan
Renault Kwid, RXT 1.0,61347,Petrol,Manual,HR-87,3245.0,Delhi,2017,Haryana,Included,2.04,1.66,9,0.38,18.63,Renault
Renault Kwid, RXL,60101,Petrol,Manual,HR-51,2892.0,Delhi,2018,Haryana,Included,1.89,1.64,8,0.25,13.23,Renault
Renault Kwid, RXT 0.8,62135,Petrol,Manual,UP-80,2879.0,Delhi,2018,Uttar Pradesh,Included,2.42,1.63,8,0.79,32.64,Renault
Renault Kwid, RXT 0.8,41654,Petrol,Manual,HR-79,2929.0,Delhi,2017,Haryana,Included,2.5,1.5,9,1.0,40.0,Renault
Tata Tiago, XZ PETROL,82748,Petrol,Manual,DL-9C,4501.0,Delhi,2019,Delhi,Included,3.09,2.55,7,0.54,17.48,Tata
Maruti Swift, LXI (O),79321,Petrol,Manual,DL-8C,4886.0,Delhi,2017,Delhi,Included,2.7,2.5,9,0.2,7.41,Maruti
Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,51717,Petrol,Manual,DL-8C,6136.0,Delhi,2015,Delhi,Included,2.68,2.33,11,0.35,13.06,Hyundai
Honda Amaze, 1.2L I-VTEC VX,63933,Petrol,Manual,DL-11,6690.0,Delhi,2018,Delhi,Included,4.24,3.79,8,0.45,10.61,Honda
Renault Kwid, RXT 0.8,80136,Petrol,Manual,DL-8C,3403.0,Delhi,2016,Delhi,Included,2.15,1.53,10,0.62,28.84,Renault
Maruti Wagon R 1.0, LXI,63611,Petrol,Manual,DL-9C,4529.0,Delhi,2015,Delhi,Included,2.05,1.72,11,0.33,16.1,Maruti
Maruti Swift, LXI,66173,Petrol,Manual,HR-14,7432.0,Delhi,2022,Haryana,Included,4.37,4.21,4,0.16,3.66,Maruti
Renault Kwid, 1.0 MARVEL IRON MAN EDITION,92514,Petrol,Manual,HR-29,3960.0,Delhi,2016,Haryana,Included,2.38,1.78,10,0.6,25.21,Renault
KIA SELTOS, HTK 1.5 PETROL,43539,Petrol,Manual,HR-16,13243.0,Delhi,2022,Haryana,Included,8.64,7.5,4,1.14,13.19,KIA
Ford FREESTYLE, AMBIENTE 1.5 DIESEL,55165,Diesel,Manual,UP-25,9931.0,Delhi,2019,Uttar Pradesh,Included,4.99,2.99,7,2.0,40.08,Ford
Tata NEXON, XZ PLUS (L) DARK EDITION,55797,Petrol,Manual,UP-27,13240.0,Delhi,2022,Uttar Pradesh,Included,8.04,7.5,4,0.54,6.72,Tata
Maruti New Wagon-R, VXI 1.2,46641,Petrol,Manual,DL-2C,5886.0,Delhi,2019,Delhi,Included,3.33,3.33,7,0.0,0.0,Maruti
Toyota Glanza, S,60527,Petrol,Manual,HR-26,8826.0,Delhi,2023,Haryana,Included,5.64,5.0,3,0.64,11.35,Toyota
Volkswagen TAIGUN, COMFORTLINE 1.0 TSI MT,26852,Petrol,Manual,TS-07,13830.0,Hydrabad,2022,Telangana,Included,7.83,7.83,4,0.0,0.0,Volkswagen
Renault Kwid, RXT 0.8,65470,Petrol,Manual,TS-09,3949.0,Hydrabad,2017,Telangana,Included,2.44,2.02,9,0.42,17.21,Renault
Maruti BREZZA, ZXI,20947,Petrol,Manual,AP-39,16951.0,Hydrabad,2023,Andhra Pradesh,Included,11.65,9.9,3,1.75,15.02,Maruti
Maruti Swift, VDI,113417,Diesel,Manual,TS-09,9586.0,Hydrabad,2016,Telangana,Included,3.86,3.64,10,0.22,5.7,Maruti
Renault Kwid, CLIMBER 1.0 (O),91070,Petrol,Manual,TS-08,5808.0,Hydrabad,2021,Telangana,Included,3.4,3.29,5,0.11,3.24,Renault
Honda City, 1.5L I-VTEC VX,83781,Petrol,Manual,TS-12,13938.0,Hydrabad,2020,Telangana,Included,7.9,7.9,6,0.0,0.0,Honda
