Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price,Sale City,Unnamed: 0
2023 Toyota Glanza, S,"60,527 km",Petrol,Manual,HR-26,"EMI ₹8,826/m*",₹5.64L₹5.00 lakh+ other charges,Delhi,19.0
2022 Volkswagen TAIGUN, COMFORTLINE 1.0 TSI MT,"26,852 km",Petrol,Manual,TS-07,"EMI ₹13,830/m*",₹7.83 lakh+ other charges,Hydrabad,
2017 Renault Kwid, RXT 0.8,"65,470 km",Petrol,Manual,TS-09,"EMI ₹3,949/m*",₹2.44L₹2.02 lakh+ other charges,Hydrabad,
2023 Maruti BREZZA, ZXI,"20,947 km",Petrol,Manual,AP-39,"EMI ₹16,951/m*",₹11.65L₹9.90 lakh+ other charges,Hydrabad,
2016 Maruti Swift, VDI,"1,13,417 km",Diesel,Manual,TS-09,"EMI ₹9,586/m*",₹3.86L₹3.64 lakh+ other charges,Hydrabad,
2021 Renault Kwid, CLIMBER 1.0 (O),"91,070 km",Petrol,Manual,TS-08,"EMI ₹5,808/m*",₹3.40L₹3.29 lakh+ other charges,Hydrabad,
2020 Honda City, 1.5L I-VTEC VX,"83,781 km",Petrol,Manual,TS-12,"EMI ₹13,938/m*",₹7.90 lakh+ other charges,Hydrabad,
2013 Maruti Swift, VXI,"1,15,028 km",Petrol,Manual,AP-28,"EMI ₹11,674/m*",₹2.93L₹2.48 lakh+ other charges,Hydrabad,
2018 Hyundai Creta, SX PLUS 1.6 PETROL,"87,805 km",Petrol,Manual,TS-08,"EMI ₹12,375/m*",₹7.61L₹7.01 lakh+ other charges,Hydrabad,
2020 Maruti Vitara Brezza, ZXI,"68,610 km",Petrol,Manual,TS-07,"EMI ₹11,668/m*",₹6.88L₹6.61 lakh+ other charges,Hydrabad,
2014 Hyundai Verna, FLUIDIC 1.6 VTVT SX,"1,15,057 km",Petrol,Manual,TS-08,"EMI ₹11,658/m*",₹3.71L₹3.51 lakh+ other charges,Hydrabad,
2014 Maruti Alto 800, LXI,"72,570 km",Petrol,Manual,TS-10,"EMI ₹5,090/m*",₹1.53 lakh+ other charges,Hydrabad,
2019 KIA SELTOS, HTK 1.5 PETROL,"70,038 km",Petrol,Manual,TS-10,"EMI ₹12,639/m*",₹8.66L₹7.16 lakh+ other charges,Hydrabad,
2019 Volkswagen Polo, TRENDLINE 1.0L,"74,948 km",Petrol,Manual,TS-08,"EMI ₹6,990/m*",₹4.89L₹3.96 lakh+ other charges,Hydrabad,
2018 Maruti Alto 800, VXI O,"36,808 km",Petrol,Manual,TS-07,"EMI ₹5,098/m*",₹2.89 lakh+ other charges,Hydrabad,
2022 Tata NEXON, XZ PLUS (HS) PETROL,"61,740 km",Petrol,Manual,TS-07,"EMI ₹13,222/m*",₹7.74L₹7.49 lakh+ other charges,Hydrabad,
2021 Ford Ecosport, TITANIUM + 1.5L PETROL,"34,987 km",Petrol,Manual,TS-08,"EMI ₹12,022/m*",₹7.91L₹6.81 lakh+ other charges,Hydrabad,
2020 Tata NEXON, XM PETROL,"99,481 km",Petrol,Manual,TS-15,"EMI ₹9,532/m*",₹5.86L₹5.40 lakh+ other charges,Hydrabad,
2019 KIA SELTOS, HTX 1.5 PETROL,"92,054 km",Petrol,Manual,TS-15,"EMI ₹13,610/m*",₹7.90L₹7.71 lakh+ other charges,Hydrabad,
2015 Toyota Innova, 2.5 GX 8 STR,"97,979 km",Diesel,Manual,TS-09,"EMI ₹24,246/m*",₹8.09L₹7.30 lakh+ other charges,Hydrabad,
2017 Hyundai Elite i20, ASTA 1.2,"42,981 km",Petrol,Manual,TS-07,"EMI ₹10,132/m*",₹5.18 lakh+ other charges,Hydrabad,
2017 Maruti Swift, VXI,"26,489 km",Petrol,Manual,RJ-14,"EMI ₹8,270/m*",₹4.23 lakh+ other charges,Jaipur,
2021 Tata Tiago, XT PETROL,"44,033 km",Petrol,Manual,RJ-45,"EMI ₹6,726/m*",₹3.95L₹3.81 lakh+ other charges,Jaipur,
2023 Maruti Swift, ZXI PLUS DUAL TONE,"44,528 km",Petrol,Manual,RJ-45,"EMI ₹11,615/m*",₹7.17L₹6.58 lakh+ other charges,Jaipur,
2021 Datsun Redi Go, A,"40,360 km",Petrol,Manual,RJ-45,"EMI ₹3,283/m*",₹2.75L₹1.86 lakh+ other charges,Jaipur,
2018 Maruti Alto 800, LXI,"43,860 km",Petrol,Manual,RJ-34,"EMI ₹3,901/m*",₹2.70L₹2.21 lakh+ other charges,Jaipur,
2020 Volkswagen Polo, HIGHLINE PLUS 1.0,"43,694 km",Petrol,Manual,RJ-45,"EMI ₹9,886/m*",₹5.66L₹5.60 lakh+ other charges,Jaipur,
2015 Maruti Swift Dzire, VXI,"56,431 km",Petrol,Manual,RJ-14,"EMI ₹8,743/m*",₹3.45L₹3.32 lakh+ other charges,Jaipur,
2022 Maruti Vitara Brezza, LXI,"56,141 km",Petrol,Manual,RJ-27,"EMI ₹9,585/m*",₹6.45L₹5.43 lakh+ other charges,Jaipur,
2016 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"66,829 km",Petrol,Manual,RJ-14,"EMI ₹7,674/m*",₹3.45 lakh+ other charges,Jaipur,
2020 Ford Ecosport, TITANIUM 1.5L PETROL,"73,275 km",Petrol,Manual,RJ-45,"EMI ₹9,179/m*",₹5.71L₹5.20 lakh+ other charges,Jaipur,
2020 KIA SELTOS, HTK 1.5 PETROL,"82,109 km",Petrol,Manual,RJ-02,"EMI ₹13,593/m*",₹7.70 lakh+ other charges,Jaipur,
2023 Hyundai Verna, SX 1.5 l MPI,"49,512 km",Petrol,Manual,RJ-02,"EMI ₹16,472/m*",₹9.95L₹9.62 lakh+ other charges,Jaipur,
2019 Tata Tiago, XZ PETROL,"91,455 km",Petrol,Manual,RJ-45,"EMI ₹7,238/m*",₹4.10 lakh+ other charges,Jaipur,
2020 Honda City, 1.5L I-VTEC ZX,"49,728 km",Petrol,Manual,RJ-01,"EMI ₹13,955/m*",₹8.15 lakh+ other charges,Jaipur,
2021 Mahindra XUV300, W8 1.2 PETROL,"38,257 km",Petrol,Manual,RJ-02,"EMI ₹10,962/m*",₹6.61L₹6.21 lakh+ other charges,Jaipur,
2013 Hyundai Verna, FLUIDIC 1.6 CRDI SX,"96,358 km",Diesel,Manual,RJ-14,"EMI ₹25,944/m*",₹3.36L₹2.92 lakh+ other charges,Jaipur,
2015 Hyundai Creta, S 1.6 PETROL,"85,076 km",Petrol,Manual,RJ-14,"EMI ₹12,904/m*",₹5.94L₹4.90 lakh+ other charges,Jaipur,
2016 Chevrolet Beat, LS PETROL,"77,807 km",Petrol,Manual,RJ-14,"EMI ₹2,892/m*",₹1.30 lakh+ other charges,Jaipur,
2017 Jeep Compass, LIMITED 1.4 PETROL AT,"56,275 km",Petrol,Auto,RJ-45,"EMI ₹13,978/m*",₹8.08L₹7.15 lakh+ other charges,Jaipur,
2020 Toyota YARIS, VX CVT,"77,912 km",Petrol,Auto,RJ-45,"EMI ₹11,580/m*",₹9.47L₹6.56 lakh+ other charges,Jaipur,
2016 Maruti Baleno, DELTA PETROL 1.2,"30,541 km",Petrol,Manual,WB-02,"EMI ₹6,295/m*",₹3.43L₹2.83 lakh+ other charges,Kolkata,
2022 Renault Kwid, RXT 1.0,"14,894 km",Petrol,Manual,WB-24,"EMI ₹5,596/m*",₹3.87L₹3.17 lakh+ other charges,Kolkata,
2017 Maruti Wagon R 1.0, VXI,"26,069 km",Petrol,Manual,WB-06,"EMI ₹4,497/m*",₹2.79L₹2.30 lakh+ other charges,Kolkata,
2019 Maruti Alto 800, LXI,"26,875 km",Petrol,Manual,WB-10,"EMI ₹3,319/m*",₹2.38L₹1.88 lakh+ other charges,Kolkata,
2018 Maruti Alto 800, VXI,"33,046 km",Petrol,Manual,WB-08,"EMI ₹3,372/m*",₹2.28L₹1.91 lakh+ other charges,Kolkata,
2023 Maruti Baleno, DELTA PETROL 1.2,"29,257 km",Petrol,Manual,WB-02,"EMI ₹9,591/m*",₹5.43 lakh+ other charges,Kolkata,
2020 Hyundai AURA, E 1.2,"1,17,154 km",Petrol,Manual,WB-02,"EMI ₹6,584/m*",₹3.52L₹2.96 lakh+ other charges,Kolkata,
2019 Hyundai Creta, SX AT 1.6 PETROL,"79,582 km",Petrol,Auto,WB-02,"EMI ₹11,068/m*",₹6.87L₹6.27 lakh+ other charges,Kolkata,
2020 KIA SELTOS, HTK 1.5 PETROL,"38,099 km",Petrol,Manual,WB-08,"EMI ₹11,421/m*",₹6.59L₹6.47 lakh+ other charges,Kolkata,
2014 Hyundai Verna, FLUIDIC 1.4 VTVT CX,"60,889 km",Petrol,Manual,WB-02,"EMI ₹10,396/m*",₹3.97L₹3.13 lakh+ other charges,Kolkata,
2018 Ford Ecosport, TITANIUM 1.5L PETROL,"35,178 km",Petrol,Manual,WB-06,"EMI ₹8,367/m*",₹4.78L₹4.74 lakh+ other charges,Kolkata,
2015 Ford Ecosport, TREND 1.5L PETROL,"92,097 km",Petrol,Manual,WB-12,"EMI ₹7,005/m*",₹2.91L₹2.66 lakh+ other charges,Kolkata,
2016 Honda City, 1.5L I-VTEC SV,"53,943 km",Petrol,Manual,WB-20,"EMI ₹6,963/m*",₹3.39L₹3.13 lakh+ other charges,Kolkata,
2022 Skoda KUSHAQ, ACTIVE 1.0L TSI MT,"28,643 km",Petrol,Manual,WB-02,"EMI ₹10,503/m*",₹6.50L₹5.95 lakh+ other charges,Kolkata,
2021 Mahindra XUV300, W8 (O) 1.2 PETROL,"93,983 km",Petrol,Manual,WB-10,"EMI ₹9,709/m*",₹5.91L₹5.50 lakh+ other charges,Kolkata,
2023 Tata NEXON, CREATIVE PLUS S 1.2 REVOTRON 7 DCA,"19,428 km",Petrol,Auto,WB-06,"EMI ₹12,639/m*",₹11.16L₹7.16 lakh+ other charges,Kolkata,
2024 Hyundai Creta, SX (O) 1.5 PETROL,"14,174 km",Petrol,Manual,WB-02,"EMI ₹20,718/m*",₹13.86L₹12.10 lakh+ other charges,Kolkata,
2020 Maruti Baleno, ZETA PETROL 1.2,"33,897 km",Petrol,Manual,WB-06,"EMI ₹7,432/m*",₹5.04L₹4.21 lakh+ other charges,Kolkata,
2018 Datsun Go Plus, T,"80,776 km",Petrol,Manual,WB-24,"EMI ₹3,107/m*",₹2.10L₹1.76 lakh+ other charges,Kolkata,
2021 Toyota Glanza, G CVT,"39,919 km",Petrol,Auto,WB-12,"EMI ₹8,138/m*",₹5.33L₹4.61 lakh+ other charges,Kolkata,
