Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price,Sale City,Unnamed: 0
2019 Ford Ecosport, TITANIUM + 1.5L DIESEL,"1,05,820 km",Diesel,Manual,BR-01,"EMI ₹11,834/m*",₹5.36L₹5.32 lakh+ other charges,Patna,
2022 Tata NEXON, XZ PLUS (PREMIUM) KAZIRANGA PETROL,"97,980 km",CNG,Manual,BR-01,"EMI ₹15,941/m*",₹10.41L₹9.31 lakh+ other charges,Patna,
2022 Tata NEXON, XMA SUNROOF PETROL,"90,084 km",Petrol,Auto,BR-01,"EMI ₹11,280/m*",₹8.15L₹6.39 lakh+ other charges,Patna,
2017 Maruti Ertiga, VDI SHVS,"71,620 km",Diesel,Manual,MH-46,"EMI ₹15,639/m*",₹7.03 lakh+ other charges,Mumbai,
2017 Hyundai Creta, SX PLUS AT 1.6 PETROL,"72,693 km",Petrol,Auto,MH-03,"EMI ₹11,714/m*",₹5.99 lakh+ other charges,Mumbai,
2017 Maruti Ertiga, ZXI+,"72,276 km",CNG,Manual,MH-48,"EMI ₹14,747/m*",₹5.60 lakh+ other charges,Mumbai,
2013 Honda City, 1.5L I-VTEC V MT,"1,36,396 km",Petrol,Manual,MH-46,"EMI ₹11,345/m*",₹2.59L₹2.41 lakh+ other charges,Mumbai,
2016 Renault Kwid, RXT 0.8,"52,504 km",Petrol,Manual,MH-03,"EMI ₹4,017/m*",₹1.81 lakh+ other charges,Mumbai,
2016 Honda City, 1.5L I-VTEC SV CVT,"45,805 km",Petrol,Auto,MH-05,"EMI ₹9,283/m*",₹4.17 lakh+ other charges,Mumbai,
2023 Tata NEXON, XM PETROL,"13,857 km",Petrol,Manual,MH-05,"EMI ₹12,163/m*",₹7.00L₹6.89 lakh+ other charges,Mumbai,
2019 Hyundai Elite i20, SPORTZ PLUS 1.2,"44,264 km",Petrol,Manual,MH-47,"EMI ₹8,050/m*",₹4.78L₹4.56 lakh+ other charges,Mumbai,
2012 Volkswagen Polo, HIGHLINE1.2L,"54,494 km",Petrol,Manual,MH-02,"EMI ₹20,232/m*",₹2.28 lakh+ other charges,Mumbai,
2021 Tata NEXON, XM DIESEL,"44,718 km",Diesel,Manual,MH-04,"EMI ₹10,856/m*",₹6.15 lakh+ other charges,Mumbai,
2014 Maruti Wagon R 1.0, VXI,"50,088 km",Petrol,Manual,MH-03,"EMI ₹6,842/m*",₹2.29L₹2.06 lakh+ other charges,Mumbai,
2018 Ford Ecosport, TITANIUM 1.5L PETROL,"43,799 km",Petrol,Manual,MH-05,"EMI ₹7,591/m*",₹4.74L₹4.30 lakh+ other charges,Mumbai,
2014 Maruti Celerio, VXI AMT,"42,879 km",Petrol,Auto,MH-04,"EMI ₹8,171/m*",₹2.52L₹2.46 lakh+ other charges,Mumbai,
2021 Skoda Rapid, STYLE TSI,"48,038 km",Petrol,Manual,MH-47,"EMI ₹11,174/m*",₹6.64L₹6.33 lakh+ other charges,Mumbai,
2019 Maruti Celerio, VXI (O) CNG,"69,614 km",CNG,Manual,MH-04,"EMI ₹6,872/m*",₹3.85L₹3.52 lakh+ other charges,Mumbai,
2022 KIA SELTOS, HTK PLUS 1.5 IMT,"94,252 km",Petrol,Manual,MH-03,"EMI ₹13,910/m*",₹9.25L₹7.88 lakh+ other charges,Mumbai,
2015 Maruti Alto 800, LXI CNG,"61,232 km",CNG,Manual,MH-04,"EMI ₹7,857/m*",₹1.93L₹1.67 lakh+ other charges,Mumbai,
2018 Hyundai Creta, SX AT 1.6 PETROL,"52,376 km",Petrol,Auto,MH-03,"EMI ₹12,939/m*",₹7.33 lakh+ other charges,Mumbai,
2021 Mahindra Thar, LX D AT 4WD HT,"51,843 km",Diesel,Auto,MH-15,"EMI ₹17,037/m*",₹11.32L₹9.95 lakh+ other charges,Mumbai,
2018 Datsun Redi Go, S 1.0 AMT,"40,396 km",Petrol,Auto,MH-04,"EMI ₹3,302/m*",₹2.22L₹1.87 lakh+ other charges,Mumbai,
